"","Title"
"Q10A1","CEO"
"Q10A2","CFO"
"Q10A3","COO"
"Q10A4","CIO"
"Q10A5","CISO"
"Q10A6","IAM Manager"
"Q10A7","IAM Architect"
"Q10A8","IAM Consultant / Expert"
"Q10A9","IAM Technical Specialist"
"Q10A10","IAM Software Developer"
"Q10A11","IAM Training Instructor"
"Q10A12","Auditor / Controller"
"Q10A13","Risk Manager"
"Q10A14","Unemployed"
"Q10A15","Retired"
"Q10A16","Security Specialist / Engineer"
"Q10A17","IT Specialist / Engineer"
"Q10A18","Other"
"Q10A19","I don't know"
"Q10A20","Other"
