"","Title","Full"
"1","Vast Majority Lagging","The vast majority of our indicators are lagging indicators"
"2","Majority Lagging","The majority of our indicators are lagging indicators"
"3","Balanced","We have a balanced portfolio that mixes lagging and leading indicators"
"4","Majority Leading","The majority of our indicators are leading indicators"
"5","Vast Majority Leading","The vast majority of our indicators are leading indicators"
